time,status,attention,faces,yawns
2025-12-21T18:40:53.947905,Active,79,1,0
2025-12-21T18:40:53.993426,Active,78,1,0
2025-12-21T18:40:54.026961,Active,78,1,0
2025-12-21T18:40:54.061384,Active,78,1,0
2025-12-21T18:40:54.092229,Active,78,1,0
2025-12-21T18:40:54.130821,Active,78,1,0
2025-12-21T18:40:54.148605,Active,78,1,0
2025-12-21T18:40:54.199554,Active,77,1,0
2025-12-21T18:40:54.218264,Active,77,1,0
2025-12-21T18:40:54.267980,Active,77,1,0
2025-12-21T18:40:54.287313,Active,77,1,0
2025-12-21T18:40:54.337219,Active,77,1,0
2025-12-21T18:40:54.354652,Active,76,1,0
2025-12-21T18:40:54.386063,Active,76,1,0
2025-12-21T18:40:54.408529,Active,76,1,0
2025-12-21T18:40:54.456140,Active,76,1,0
2025-12-21T18:40:54.488338,Active,76,1,0
2025-12-21T18:40:54.523482,Active,76,1,0
2025-12-21T18:40:54.549464,Active,75,1,0
2025-12-21T18:40:54.594753,Active,75,1,0
2025-12-21T18:40:54.613518,Active,75,1,0
2025-12-21T18:40:54.662307,Active,75,1,0
2025-12-21T18:40:54.667535,Active,75,1,0
2025-12-21T18:40:54.686404,Active,75,1,0
2025-12-21T18:40:54.704846,Active,74,1,0
2025-12-21T18:40:54.725916,Active,74,1,0
2025-12-21T18:40:54.760707,Active,74,1,0
2025-12-21T18:40:54.803694,Active,74,1,0
2025-12-21T18:40:54.857264,Active,74,1,0
2025-12-21T18:40:54.903720,Active,74,1,0
2025-12-21T18:40:54.924267,Active,73,1,0
2025-12-21T18:40:54.970134,Active,73,1,0
2025-12-21T18:40:55.008094,Active,73,1,0
2025-12-21T18:40:55.038522,Active,73,1,0
2025-12-21T18:40:55.071260,Active,73,1,0
2025-12-21T18:40:55.093612,Active,73,1,0
2025-12-21T18:40:55.142484,Active,72,1,0
2025-12-21T18:40:55.174521,Active,72,1,0
2025-12-21T18:40:55.210080,Active,72,1,0
2025-12-21T18:40:55.244101,Active,72,1,0
2025-12-21T18:40:55.266335,Active,72,1,0
2025-12-21T18:40:55.316234,Active,72,1,0
2025-12-21T18:40:55.336941,Active,71,1,0
2025-12-21T18:40:55.366895,Active,71,1,0
2025-12-21T18:40:55.406310,Active,71,1,0
2025-12-21T18:40:55.438953,Active,71,1,0
2025-12-21T18:40:55.478330,Active,71,1,0
2025-12-21T18:40:55.497145,Active,71,1,0
2025-12-21T18:40:55.530366,Active,71,1,0
2025-12-21T18:40:55.564920,Active,70,1,0
2025-12-21T18:40:55.601841,Active,70,1,0
2025-12-21T18:40:55.609828,Active,70,1,0
2025-12-21T18:40:55.655283,Active,70,1,0
2025-12-21T18:40:55.674617,Active,70,1,0
2025-12-21T18:40:55.721587,Active,70,1,0
2025-12-21T18:40:55.767884,Active,70,1,0
2025-12-21T18:40:55.802265,Active,69,1,0
2025-12-21T18:40:55.816692,Active,69,1,0
2025-12-21T18:40:55.866989,Active,69,1,0
2025-12-21T18:40:55.901695,Active,69,1,0
2025-12-21T18:40:55.937379,Active,69,1,0
2025-12-21T18:40:55.955690,Active,69,1,0
2025-12-21T18:40:56.005821,Active,69,1,0
2025-12-21T18:40:56.041011,Active,68,1,0
2025-12-21T18:40:56.077037,Active,68,1,0
2025-12-21T18:40:56.109729,Active,68,1,0
2025-12-21T18:40:56.148578,Active,68,1,0
2025-12-21T18:40:56.169478,Active,68,1,0
2025-12-21T18:40:56.204137,Active,68,1,0
2025-12-21T18:40:56.254313,Active,68,1,0
2025-12-21T18:40:56.285408,Active,67,1,0
2025-12-21T18:40:56.314919,Active,67,1,0
2025-12-21T18:40:56.332501,Active,67,1,0
2025-12-21T18:40:56.363086,Active,67,1,0
2025-12-21T18:40:56.398133,Active,67,1,0
2025-12-21T18:40:56.419827,Active,67,1,0
2025-12-21T18:40:56.460315,Active,67,1,0
2025-12-21T18:40:56.496706,Active,66,1,0
2025-12-21T18:40:56.545741,Active,66,1,0
2025-12-21T18:40:56.576565,Active,66,1,0
2025-12-21T18:40:56.609609,Active,66,1,0
2025-12-21T18:40:56.648674,Active,66,1,0
2025-12-21T18:40:56.683472,Active,66,1,0
2025-12-21T18:40:56.702830,Active,66,1,0
2025-12-21T18:40:56.756156,Active,66,1,0
2025-12-21T18:40:56.777660,Active,65,1,0
2025-12-21T18:40:56.811039,Active,65,1,0
2025-12-21T18:40:56.860331,Active,65,1,0
2025-12-21T18:40:56.889906,Active,65,1,0
2025-12-21T18:40:56.912830,Active,65,1,0
2025-12-21T18:40:56.968329,Active,65,1,0
2025-12-21T18:40:57.003137,Active,65,1,0
2025-12-21T18:40:57.022527,Active,64,1,0
2025-12-21T18:40:57.075138,Active,64,1,0
2025-12-21T18:40:57.093777,Active,64,1,0
2025-12-21T18:40:57.136853,Active,64,1,0
2025-12-21T18:40:57.197461,Active,64,1,0
2025-12-21T18:40:57.270814,Active,64,1,0
2025-12-21T18:40:57.301208,Active,64,1,0
2025-12-21T18:40:57.339392,Active,64,1,0
2025-12-21T18:40:57.373442,Active,63,1,0
2025-12-21T18:40:57.402163,Active,63,1,0
2025-12-21T18:40:57.431926,Active,63,1,0
2025-12-21T18:40:57.465360,Active,63,1,0
2025-12-21T18:40:57.515977,Active,63,1,0
2025-12-21T18:40:57.534089,Active,63,1,0
2025-12-21T18:40:57.568882,Active,63,1,0
2025-12-21T18:40:57.594916,Active,63,1,0
2025-12-21T18:40:57.620550,Active,63,1,0
2025-12-21T18:40:57.625787,Active,62,1,0
2025-12-21T18:40:57.683836,Active,62,1,0
2025-12-21T18:40:57.711784,Active,62,1,0
2025-12-21T18:40:57.756042,Active,62,1,0
2025-12-21T18:40:57.776937,Active,62,1,0
2025-12-21T18:40:57.821326,Active,62,1,0
2025-12-21T18:40:57.828284,Active,62,1,0
2025-12-21T18:40:57.880957,Active,62,1,0
2025-12-21T18:40:57.915557,Active,61,1,0
2025-12-21T18:40:57.934891,Active,61,1,0
2025-12-21T18:40:57.984685,Active,61,1,0
2025-12-21T18:40:58.005038,Active,61,1,0
2025-12-21T18:40:58.050986,Active,61,1,0
2025-12-21T18:40:58.074781,Active,61,1,0
2025-12-21T18:40:58.109237,Active,61,1,0
2025-12-21T18:40:58.143730,Active,61,1,0
2025-12-21T18:40:58.195108,Active,61,1,0
2025-12-21T18:40:58.212822,Active,60,1,0
2025-12-21T18:40:58.260096,Active,60,1,0
2025-12-21T18:40:58.280680,Active,60,1,0
2025-12-21T18:40:58.336000,Active,60,1,0
2025-12-21T18:40:58.360377,Active,60,1,0
2025-12-21T18:40:58.379064,Active,60,1,0
2025-12-21T18:40:58.407680,Active,60,1,0
2025-12-21T18:40:58.445086,Not Present ❌,60,0,0
2025-12-21T18:40:58.476746,Not Present ❌,60,0,0
2025-12-21T18:40:58.500985,Not Present ❌,60,0,0
2025-12-21T18:40:58.538347,Not Present ❌,60,0,0
2025-12-21T18:40:58.563541,Not Present ❌,60,0,0
2025-12-21T18:40:58.605076,Not Present ❌,60,0,0
2025-12-21T18:40:58.617476,Not Present ❌,60,0,0
2025-12-21T18:40:58.664878,Not Present ❌,60,0,0
2025-12-21T18:40:58.684334,Not Present ❌,60,0,0
2025-12-21T18:40:58.727543,Not Present ❌,60,0,0
2025-12-21T18:40:58.744745,Not Present ❌,60,0,0
2025-12-21T18:40:58.817560,Not Present ❌,60,0,0
2025-12-21T18:40:58.837211,Not Present ❌,60,0,0
2025-12-21T18:40:58.871110,Not Present ❌,60,0,0
2025-12-21T18:40:58.890621,Not Present ❌,60,0,0
2025-12-21T18:40:58.952892,Active,60,1,0
2025-12-21T18:40:58.970493,Active,60,1,0
2025-12-21T18:40:59.010168,Active,59,1,0
2025-12-21T18:40:59.053875,Active,59,1,0
2025-12-21T18:40:59.095243,Active,59,1,0
2025-12-21T18:40:59.132054,Active,59,1,0
2025-12-21T18:40:59.163232,Active,59,1,0
2025-12-21T18:40:59.185789,Active,59,1,0
2025-12-21T18:40:59.235546,Active,59,1,0
2025-12-21T18:40:59.271954,Active,59,1,0
2025-12-21T18:40:59.289158,Not Present ❌,59,0,0
2025-12-21T18:40:59.323956,Not Present ❌,59,0,0
2025-12-21T18:40:59.337349,Not Present ❌,59,0,0
2025-12-21T18:40:59.348991,Not Present ❌,59,0,0
2025-12-21T18:40:59.408112,Not Present ❌,59,0,0
2025-12-21T18:40:59.421101,Not Present ❌,59,0,0
2025-12-21T18:40:59.472303,Not Present ❌,59,0,0
2025-12-21T18:40:59.493221,Not Present ❌,59,0,0
2025-12-21T18:40:59.544076,Not Present ❌,59,0,0
2025-12-21T18:40:59.555274,Not Present ❌,59,0,0
2025-12-21T18:40:59.612998,Not Present ❌,59,0,0
2025-12-21T18:40:59.619353,Not Present ❌,59,0,0
2025-12-21T18:40:59.675987,Not Present ❌,59,0,0
2025-12-21T18:40:59.690099,Not Present ❌,59,0,0
2025-12-21T18:40:59.740630,Not Present ❌,59,0,0
2025-12-21T18:40:59.765184,Not Present ❌,59,0,0
2025-12-21T18:40:59.800972,Not Present ❌,59,0,0
2025-12-21T18:40:59.820417,Not Present ❌,59,0,0
2025-12-21T18:40:59.869703,Not Present ❌,59,0,0
2025-12-21T18:40:59.884033,Not Present ❌,59,0,0
2025-12-21T18:40:59.950510,Not Present ❌,59,0,0
2025-12-21T18:40:59.969425,Not Present ❌,59,0,0
2025-12-21T18:41:00.014534,Not Present ❌,59,0,0
2025-12-21T18:41:00.021189,Not Present ❌,59,0,0
2025-12-21T18:41:00.071307,Not Present ❌,59,0,0
2025-12-21T18:41:00.082998,Not Present ❌,59,0,0
2025-12-21T18:41:00.135674,Not Present ❌,59,0,0
2025-12-21T18:41:00.155033,Not Present ❌,59,0,0
2025-12-21T18:41:00.202385,Not Present ❌,59,0,0
2025-12-21T18:41:00.222611,Not Present ❌,59,0,0
2025-12-21T18:41:00.280703,Not Present ❌,59,0,0
2025-12-21T18:41:00.298760,Not Present ❌,59,0,0
2025-12-21T18:41:00.345007,Not Present ❌,59,0,0
2025-12-21T18:41:00.367785,Not Present ❌,59,0,0
2025-12-21T18:41:00.414470,Not Present ❌,59,0,0
2025-12-21T18:41:00.432400,Not Present ❌,59,0,0
2025-12-21T18:41:00.475194,Not Present ❌,59,0,0
2025-12-21T18:41:00.493920,Not Present ❌,59,0,0
2025-12-21T18:41:00.535499,Not Present ❌,59,0,0
2025-12-21T18:41:00.555709,Not Present ❌,59,0,0
2025-12-21T18:41:00.603011,Not Present ❌,59,0,0
2025-12-21T18:41:00.620874,Not Present ❌,59,0,0
2025-12-21T18:41:00.680628,Not Present ❌,59,0,0
2025-12-21T18:41:00.699812,Not Present ❌,59,0,0
2025-12-21T18:41:00.743520,Not Present ❌,59,0,0
2025-12-21T18:41:00.768842,Not Present ❌,59,0,0
2025-12-21T18:41:00.808969,Not Present ❌,59,0,0
2025-12-21T18:41:00.827976,Not Present ❌,59,0,0
2025-12-21T18:41:00.875915,Not Present ❌,59,0,0
2025-12-21T18:41:00.893542,Not Present ❌,59,0,0
